Entidad,Nombre_Banco,Periodo,Activo,Disponibilidades,Disponibilidades en pesos,Caja $,BCRA $,Disponibilidades en ME,Caja ME,BCRA ME,Titulos públicos y privados,Titulos públicos y privados en pesos,Titulos públicos y privados en ME,Letras y Notas BCRA,Prestamos,Prestamos totales,Volumen de Negocio,Prestamos en pesos,Prestamos en ME,Prestamos sector publico no fcro pesos,Prestamos sector publico no fcro ME,Prestamos sector privado no fcro pesos,Prestamos privado no fcro ME,OCIF,Prestamos Comerciales,Propiedad Planta y Equipo,Créditos diversos,Participación en otras sociedades,Activos Intangibles,PPI Deudoras,Pasivo,Depositos,Depositos en pesos,Depositos a la vista $,Depositos a plazo $,Depositos en ME,Depositos a la vista en ME,Depositos a plazo ME,OOIF,PN,Capital social,PN FINAL,Reserva Legal,Previsiones,Ingresos financieros,Egresos financieros,Ingresos por servicios,Egresos por servicios,Gastos de Administracion,Cargo por Incobrabilidad,Utilidades diversas,Perdidas diversas,Gastos de Personal,Utilidad neta
254,BANCO MARIVA S.A.,201508,2839771,252994,143867,3944,139923,109127,9382,51334,472554,52322,420232,0,1016392,1016392,2566165,985858,30534,4896,0,953855,30534,902418,811718,23289,27781,114128,776,8,2551728,1557848,956856,322553,317518,600992,48438,565037,980040,267131,67063,288043,65647,-26978,235631,142781,19181,7419,111225,22933,54894,2978,94985,20912
254,BANCO MARIVA S.A.,201509,3533503,170054,57078,2685,54393,112976,9542,47553,519999,186993,333006,0,1053567,1053567,2723778,1017184,36383,4580,0,985159,36383,1589356,818502,23683,30839,115589,968,4,3235953,1689107,1056298,384913,314512,632809,50686,587147,1532675,267131,67063,297550,65647,-25619,277118,160518,21645,7973,126207,23379,57898,3334,107151,30419
254,BANCO MARIVA S.A.,201510,4083293,285906,149859,4491,145368,136047,5241,83247,555124,165891,389233,0,1055398,1055398,2759221,1036279,19119,4285,0,1002645,19119,1973068,804488,23533,39683,119391,941,3,3761293,1751140,1082762,377657,302126,668378,69652,592374,1994943,267131,67063,322000,65647,-25940,345690,181825,23986,9285,141054,27756,64776,3654,119576,54869
254,BANCO MARIVA S.A.,201511,3186996,229128,64605,5186,59419,164523,5119,101488,517448,63774,453674,0,1115949,1115949,2830355,1096440,19509,3977,0,1061562,19509,1117311,853883,23282,28430,124154,1104,7,2849228,1724150,1048682,367380,302178,675468,78776,615596,1109168,267131,67063,337768,65647,-26612,399664,202431,26719,10827,158119,30196,71826,4018,133927,70637
254,BANCO MARIVA S.A.,201512,2711130,259269,80261,1910,78351,179008,26319,101899,446295,141862,304433,0,1178172,1178172,2722699,1164985,13187,20179,0,1114569,13187,629867,896715,23132,5838,136682,1085,0,2369250,1588109,1308463,540804,492787,279646,182822,83635,736533,267131,67063,341880,65647,-28557,465822,233564,29962,12066,195836,33370,85485,4298,169057,74749
254,BANCO MARIVA S.A.,201601,4385498,407444,147941,4518,143423,259503,13293,194406,639695,276832,362863,0,1172520,1172520,3088427,1144506,28014,20246,0,1095137,28014,1957052,905724,22881,9346,144767,1118,1,4012226,1913263,1113559,422201,471830,799704,130474,685738,2070253,341879,67063,373272,65647,-30668,74374,26892,2421,1604,16798,6645,13004,1145,13346,31393
254,BANCO MARIVA S.A.,201602,4775020,373830,232149,3276,228873,141681,16245,112186,757771,249404,508367,0,1233014,1233014,3288219,1157069,75945,20219,0,1108301,75091,2178133,920267,22767,8810,169113,1094,40,4371184,2054801,1176601,462559,581068,878200,134675,760076,2281572,341879,67063,403836,65647,-31358,124158,44231,4989,2333,32933,11328,41033,1488,26493,61957
254,BANCO MARIVA S.A.,201603,3344855,400711,108108,3543,104565,292603,17039,202782,515603,206916,308687,0,1200622,1200622,3058296,1111888,88734,20264,0,1064498,88734,981089,863141,23040,39549,152947,1075,0,2956945,1879358,982703,330967,551553,896655,208905,680781,1040560,336879,67063,387910,65647,-31627,175696,72771,7997,3270,49777,14151,27646,1836,39526,51031
254,BANCO MARIVA S.A.,201604,4073563,144876,34618,5871,28747,110258,5222,45862,649113,252223,396890,0,1236082,1236082,2990682,1149201,86881,20257,0,1070813,86881,1802074,891744,23341,43771,142770,1075,6,3702837,1798603,920621,339442,484793,877982,181945,674890,1858612,336880,67063,370726,80597,-32955,419686,300122,11160,4024,75924,18206,19699,2164,62614,33846
254,BANCO MARIVA S.A.,201605,3165383,325615,75678,3847,71831,249937,9275,189685,359573,124620,234953,0,1098902,1098902,2697970,999787,99115,20290,0,954563,99115,1154970,765205,23343,23259,148556,1022,5,2778428,1635378,1072249,389430,476523,563129,178888,375085,1099716,336880,67063,386955,80597,-31384,466255,321048,15907,5006,96971,18458,28983,2539,80500,50075
